000313;TURTLES 3 TORTUGAS;INFANTILES;4;
000314;CORVETE EVOLUTION;DEPORTIVO;5;
000315;ARMORED CORE LASR RAVEN;ROL;6;
000316;FUTURAMA;INFANTILES;3;
000317;STREET FIGTHER ALPHA ANTOLOGY;ARCADE;12;
000318;AEONFLUX EL FUTURO ES FLUX;ROL;0;
000319;GARFIELD 2;INFANTILES;4;
000320;TARZAN FRERIDE;INFANTILES;11;
000321;SEGA GENESIS COLLECTION;ARCADE;0;
000322;JAK X COMBAT RACING;PLATAFORMAS;1;
000323;PRO BMX 2 VICICLETAS;CONDUCCIÓN;4;
000324;KAIDO RACER AUTOS;CONDUCCIÓN;2;
000325;APERTURA 2007 LIBERTADORES;DEPORTIVO;0;
000326;DOWN HILL DOMINATION;CONDUCCIÓN;6;
000327;WINININ ELEVENG PES 2007;DEPORTIVO;0;
000328;TMNT;ACCIÓN;9;
000329;SPIDER MAN 3;ACCIÓN;0;
000330;AMERICAN SHOPPER 2 ;CONDUCCIÓN;5;
000331;METAL SLUG ANTOLOGY;ARCADE;1;
000332;GHOST RECON 2 ;ACCIÓN;5;
000333;PIRATAS DEL CARIBE EN EL FIN DEL MUNDO;ACCIÓN;10;
000334;VICE CITY GTA 1;ACCIÓN;3;
000335;VICE CITY STORIES GTA 4;ACCIÓN;8;
000336;MOTO GP 4;CONDUCCIÓN;2;
000337;TRUE CRIME NEY YOUR CITY;ACCIÓN;9;
000338;MEDAL OF HONOR VANGUARD;ACCIÓN;3;
000339;THE SIMSOMPS HIT RUN;ACCIÓN;4;
000340;TRANSFORMES;ACCIÓN;1;
000341;FANTASTIV 4 2;ACCIÓN;5;
000342;SHREK THE TRIRD 3;INFANTILES;8;
000343;HARRY PHOTER THE ORDER FENIX;ACCIÓN;4;
000344;CHAMPION LIAGUE 2007;DEPORTIVO;0;
000345;SHADOW HEGHE SONIC;ROL;8;
000346;TONY HAWS DOWNHILL;CONDUCCIÓN;6;
000347;W E COPA AMERICA 07 ;DEPORTIVO;7;
000348;TOM RAIDER ANIVERSARY;ACCIÓN;10;
000349;PAC MAN RALLY;CONDUCCIÓN;16;
000350;BRAVE;ROL;8;
000351;HAUNTING GROUND;ROL;8;
000352;WRC WORLD RALLY 04;CONDUCCIÓN;6;
000353;TRANSFORMES UNO;ACCIÓN;5;
000354;CASTELVNIA LAMENT 2;ROL;10;
000355;FUGITIVE HUNTER;ACCIÓN;10;
000356;TOTAL OVERDOSE;ACCIÓN;13;
000357;ECHO NIGHT ;ROL;4;
000358;SHAOW    OF ROME;ACCIÓN;4;
000359;EXTERMINATION;ACCIÓN;3;
000360;NINJA ASSAULT;ROL;8;
000361;SEGA CLASIC COLECTION;ARCADE;7;
000362;VIRTUAL TENIS 2;DEPORTIVO;8;
000363;EVIL PROPHECY MC FARLANES;ROL;3;
000364;NEO GEO BALTE;ARCADE;2;
000365;ace combat 5  the unsun war;SIMULADOR;4;
000366;NASCAR 2008;CONDUCCIÓN;0;
000367;TEST DRIVE;CONDUCCIÓN;5;
000368;big mutha trukers 2;CONDUCCIÓN;7;
000369;mage griffin bountyunter;ACCIÓN;4;
000370;bards tale;ROL;10;
000371;fire figter df;ACCIÓN;0;
000372;backyard westling;ARCADE;7;
000373;the x file resist or serve;ACCIÓN;4;
000374;the shield;ACCIÓN;3;
000375;rayman 3 holdlun havoc;INFANTILES;8;
000376;crouchin tiger hidden dragon;ROL;9;
000377;Goblin commander;ROL;9;
000378;time splinters ;ACCIÓN;0;
000379;full spectrum warrio ten hammers;ACCIÓN;1;
000380;wild arms 3;ROL;2;
000381;the great escape;ACCIÓN;0;
000382;FRIENDS;ESTRATEGIA;4;
000383;THE KING OF FIGHTERS 2006;ARCADE;3;
000384;head coach;DEPORTIVO;2;
000385;SUPER BIKES;CONDUCCIÓN;6;
000386;digital devil saga;ROL;10;
000387;ruff triguer;ROL;0;
000388;maden nfl 2007;DEPORTIVO;7;
000389;spyro;PLATAFORMAS;5;
000390;nba ballers phenom;DEPORTIVO;0;
000391;arena fooball;DEPORTIVO;7;
000392;raiden 2;ROL;0;
000393;callop racer 2006;DEPORTIVO;4;
000394;pirates legen of the black bucaneer;ACCIÓN;2;
000395;virtua pro fooball;DEPORTIVO;6;
000396;bad boys 2;ACCIÓN;3;
000397;tokyo xtreme racer drift 2;CONDUCCIÓN;6;
000398;tokyo xtreme racer drift 3;CONDUCCIÓN;13;
000399;dance dance revolution supermnova;SIMULADOR;8;
000400;neopes the darkest faerie;INFANTILES;10;
000401;your self;DEPORTIVO;14;
000402;tourist trophy;CONDUCCIÓN;0;
000403;well of fortune;PLATAFORMAS;2;
000404;manhunt;ACCIÓN;8;
000405;RIDE OR DIE 187;ACCIÓN;4;
000406;HOT WHEELS VELOCITY X;CONDUCCIÓN;4;
000407;WINNING ELEVENG 12;DEPORTIVO;3;
000408;LEGACY OF KAIN (ESP.);ACCIÓN;15;
000409;URBAN REING;ARCADE;7;
000410;NARUTO 2 ;ARCADE;4;
000411;MARVEL NEMESIS;ARCADE;4;
000412;METAL ARMS;ARCADE;10;
000413;ACE COMBAT 4;SIMULADOR;4;
000414;THE HOBBY ESDLA;ACCIÓN;12;
000415;RATATUILE;INFANTILES;3;
000416;ROBINSONS MEET THE ;INFANTILES;3;
000417;FATAL FRAME 2 CRIMON;ROL;9;
000418;SMACK DOWN HERE COMES THE PAIN;ARCADE;4;
000419;NEED FOR SPEED HOT PURSUIT 2;CONDUCCIÓN;4;
000420;STREET FIGHTERS 3 3STRIKE;ARCADE;14;
000421;CRUSTY DEMONS;CONDUCCIÓN;6;
000422;ARMY MEN RTS;ARCADE;4;
000423;SHREK SUPER SLAM;INFANTILES;7;
000424;NARUTO UZUMAKI CHRONICLES;ACCIÓN;3;
000425;PIMP MY RIDE;ESTRATEGIA;5;
000426;NEO GEO BATTLE ARCHIVES FATAL FURY COLLECTION;ARCADE;1;
000427;WARSHIP GUNNER 2 BARCOS;PLATAFORMAS;4;
000428;SNOW CROSS 2 HIELO ;CONDUCCIÓN;7;
000429;GETTING UP RAPEROS;ACCIÓN;6;
000430;WINNIE THE POOH FIESTA DE CUMPLEAÑOS;INFANTILES;5;
000431;TAITO LEGENDS 2 (ESPAÑOL);ARCADE;5;
000432;THE SIMPSONS HIT RUN DVD;ACCIÓN;9;
000433;DEATH BY DEGREES;ROL;8;
000434;YU GI OH! KAPSELMONSTER KOLOSSEUM;ESTRATEGIA;6;
000435;MONSTER HOUSE AVENTURA ;ROL;5;
000436;PRINCE OF PERCIA LAS ARENAS DEL TIEMPO 1;ACCIÓN;3;
000437;PRINCE PERCIA ALMA DEL GUERRERO WARRION WITHIN;;4;
000438;URBAN FRESTYLE SOCCER CALLEJERO;DEPORTIVO;3;
000439;WORMS 4 MAYEN GUSANOS;ESTRATEGIA;4;
000440;DRAGON BALL Z TENKAICHI 3 VERSION JAPONES;ARCADE;7;
000441;WININNG ELEVENG 13 BRAZILIAN;DEPORTIVO;0;
000442;CRASH NITRO KART EN DVD;CONDUCCIÓN;9;
000443;THE KING OF FIGHTERS COLLECTION 06;ARCADE;4;
000444;GUITAR HERO ENCORE ROCK 80;ARCADE;3;
000445;GUN (ESP.);ACCIÓN;8;
000446;CRASH BANDICOT WRATH COATCH;INFANTILES;19;
000447;RUGBY 08 ;DEPORTIVO;10;
000448;PRO EVOLUTION SOCCER 2008;DEPORTIVO;1;
000449;METAL GEAR 3 SUBTANCE 2 DVDS 1/2 ESP.;ESTRATEGIA;5;
000450;METAL GEAR 3 SUBTANCE 2 DVDS 2/2;ESTRATEGIA;8;
000451;FIFA 2008 ;DEPORTIVO;0;
000452;DARKSTALKERS CRHONICLE;ROL;7;
000453;MARIO COLLECION;ARCADE;6;
000454;CRASH N BURN;CONDUCCIÓN;7;
000455;RESIDENT EVIL OUTBREAK FILE 2 (ESP.);ARCADE;2;
000456;CALL OF DUTY FINEST HOUR;ACCIÓN;5;
000457;HOT SHOTS TENIS;DEPORTIVO;11;
000458;TWISTED METAL BLACK;ARCADE;12;
000459;CRASH OF THE TITANS;INFANTILES;8;
000460;SYPHON FILTER DSARK MIRROR;ACCIÓN;8;
000461;DIGIMON WORLD 07;ROL;3;
000462;NARUTO UZUMAKI CHRONICLES 2 (ESPAÑOL);ACCIÓN;4;
000463;MANHUNT 2;ACCIÓN;6;
000464;NHL 2 K8;DEPORTIVO;1;
000465;STUNTMAN;CONDUCCIÓN;13;
000466;LOONEY TUNES 07;INFANTILES;6;
000467;JUICED 2;CONDUCCIÓN;3;
000468;KIN OF FIGTHER 3 LUCHADORES 00;ARCADE;6;
000469;SMACK DOW 2008 INGLES;ARCADE;6;
000470;SCOBY DOO ;INFANTILES;7;
000471;BLEACH;ROL;2;
000472;OBSCURE 2;ACCIÓN;5;
000473;NCA 08;DEPORTIVO;6;
000474;BRATS;ROL;4;
000475;SPIDERMAN FRIENDS;ACCIÓN;1;
000476;ROBOTHECH;ROL;6;
000477;FUTBOL LEGO SOCCER;DEPORTIVO;11;
000478;THE CODE DAVINCE;ACCIÓN;5;
000479;THE SIMS OUT;ESTRATEGIA;4;
000480;RATONPOLIS;INFANTILES;9;
000481;CLOCK TOWER 3R;ROL;10;
000482;HOT WHEELS 2;CONDUCCIÓN;2;
000483;BAZAN 2;ROL;8;
000484;THE SIMPSON ROAD;ACCIÓN;3;
000485;GOD OF WAR 2 ESPAÑOL;ACCIÓN;15;
000486;GOD OF WAR ESPAÑOL;ACCIÓN;11;
000487;SAMURAI  ESTER;ROL;4;
000488;THE BIGS;DEPORTIVO;14;
000489;EUREKA EPISODE 1;ROL;7;
000490;CABELAS TROOPY;ACCIÓN;9;
000491;TUROK EVOLUTION;ACCIÓN;7;
000492;PARAPA;PUZZLE;6;
000493;NASCAR 2005;CONDUCCIÓN;3;
000494;DRAGON BALL Z TENKAICHI 3 EN ESPAÑOL;ARCADE;4;
000495;MOTO GP 2007;CONDUCCIÓN;5;
000496;NFS PRO STREET;CONDUCCIÓN;2;
